time,theta,theta_dot,hip_y,hip_v,pitch,pitch_rate,length_L,length_R,target_length,roll,yaw,connect_gap,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5
0.001,0.08232212020621725,0.0,0.0,0.0,0.0,0.0,0.2999999999847247,0.2999999999847247,0.3,-0.0,-0.0,6.470657554596348e-12,13.180271084476352,-14.761130947999904,0.00032515620689519006,13.180271084476352,-14.761130947999904,0.00032515620689519006
0.02100000000000001,0.08229144460987312,-0.0028512834743825953,-1.8852822232726107e-06,-0.00014607355632485672,2.7193540719153675e-05,0.001924550182419054,0.30040386414422504,0.300415963182153,0.3,3.295091224111129e-05,9.421954175777622e-07,2.3205086008467115e-05,12.896404076311592,-14.470633064756358,0.0024343050115919786,12.824143737350875,-14.386849040284758,0.002207658335325392
0.04100000000000003,0.082146873967192,-0.00796459607582801,-6.831119103267724e-06,-0.0002592866935949251,8.576300582431553e-05,0.0030276980985145248,0.3006019184821114,0.30067103651914473,0.3,0.00019166631172733075,7.033617064932492e-06,2.3677732970964716e-05,13.104011844091225,-14.673768851158957,-0.001496044696648254,12.935028169798638,-14.47655771071538,-0.0018771168660950766
0.06100000000000005,0.08202396962219827,-0.004860794543996197,-1.1011578475557393e-05,-0.00017741814860777419,0.0001344015216554465,0.0020607190419918223,0.3004493587833649,0.3006060237183592,0.3,0.0004342663082684947,1.452220572085352e-05,2.395271339596732e-05,13.263360258296517,-14.844146414765035,-0.002128417693951419,12.996491873746402,-14.530924615122842,-0.002568515999655785
0.08100000000000006,0.08199694084459641,-0.00012704639273108183,-1.2861047293304118e-05,-6.277871599370507e-05,0.00015382497019474233,0.0005605160192857148,0.3002008033484838,0.3004658370571964,0.3,0.0007344884867193641,2.183241715007292e-05,2.4143905073983315e-05,13.369129162554344,-14.9669169237829,-0.0011676294830265817,13.008291867204516,-14.541805249696072,-0.0015953964721729386
0.10100000000000008,0.08204383665846064,0.0030822139592170295,-1.2899893705280163e-05,1.643302181782534e-05,0.00014596363449337587,-0.0007141318359471298,0.2999498821892693,0.30033421410738514,0.3,0.0010645148331394595,2.7720612713852855e-05,2.42963156547654e-05,13.450650527036816,-15.065256790917562,-0.0004189834555699992,13.00631823262199,-14.540137976934593,-0.0007762984306912718
0.1210000000000001,0.08213207488550225,0.004771605125793431,-1.1901704698585869e-05,5.9017847363826175e-05,0.00011800034066324225,-0.0016143189237538557,0.29972139596729225,0.30022642300107716,0.3,0.0013978046146224552,3.139852886933847e-05,2.4419643123412592e-05,13.515356636543292,-15.144657955637715,-1.0304187496885898e-05,13.002190944350582,-14.536510510094583,-0.0002607130801955388
0.1410000000000001,0.08223858953813487,0.005444007811230417,-1.0443238119751952e-05,7.582838532400906e-05,7.731320631891238e-05,-0.0021547482350407843,0.29952418033153866,0.3001430142685923,0.3,0.0017117561969110353,3.254961325042686e-05,2.451282113836415e-05,13.563277962946561,-15.204503094611654,0.00023763886319662567,12.9981230249283,-14.53305522565481,0.00011029315064691752
0.16100000000000012,0.0823483360922754,0.005437895616442321,-8.905697954614267e-06,7.572659619901798e-05,3.0492329089234544e-05,-0.0023779926578268557,0.29936420661160157,0.3000834953668613,0.3,0.0019888028092316023,3.1226230062250137e-05,2.457407191567667e-05,13.593668897588334,-15.243776352349206,0.0004947605856572645,12.994016037115598,-14.529663967507407,0.0004908545883621859
0.18100000000000013,0.08245048586574726,0.004933133837797641,-7.534845434517545e-06,6.488429508692312e-05,-1.6814754479375787e-05,-0.002332841700371824,0.29924566337653286,0.3000475758034584,0.3,0.002216689013901462,2.7734435719910086e-05,2.4603720420012875e-05,13.606884389694281,-15.262725718503546,0.0007718381642675216,12.989653581953169,-14.526025120268487,0.0008802549543344463
0.20100000000000015,0.08253706348385,0.0040653682546406555,-6.473645671016548e-06,4.814266008522373e-05,-6.003612417895849e-05,-0.0020749128850425388,0.29917018753751307,0.3000343279709586,0.3,0.002388335189315232,2.2539767200684e-05,2.4604269428070905e-05,13.604459952107964,-15.262981723399271,0.0010453836911025268,12.98502553347922,-14.522036214292209,0.0012471086216976784
0.22100000000000017,0.08260264158504262,0.002960449715161435,-5.781337777559237e-06,2.945836059639207e-05,-9.57844834604091e-05,-0.001664376435888491,0.2991366175564166,0.3000417619208387,0.3,0.0025014221857283425,1.619071787521079e-05,2.4579833894731268e-05,13.58878155196113,-15.247211376583238,0.0012863133681017247,12.98024688194819,-14.517750845212069,0.0015575970258921538
0.2410000000000002,0.08264423231386592,0.0017385480888314948,-5.450172678139742e-06,1.1946429772914351e-05,-0.00012188646648927,-0.0011615948033731462,0.29914129604531287,0.30006688387273756,0.3,0.0025577557951785256,9.255350655032765e-06,2.4535552396462358e-05,13.562748799584904,-15.218739465920436,0.0014704883791250912,12.97548013539328,-14.513303639820215,0.0017856468508728014
0.2610000000000002,0.08266110532771406,0.0005090610503504815,-5.422786707530436e-06,-2.155397581433502e-06,-0.00013732213081462554,-0.000622768448230036,0.2991786291838915,0.30010596576918586,0.3,0.002562479530903097,2.2703324980061122e-06,2.447707728506114e-05,13.529494234298035,-15.18121638457408,0.0015819300250380862,12.97090150923431,-14.508869728149707,0.0019157133456060688
0.2810000000000002,0.0826544878260243,-0.0006350652155085028,-5.6096770991651e-06,-1.1474022536942336e-05,-0.00014209162167599723,-9.662307473207194e-05,0.29924172084625117,0.30015486626385246,0.3,0.0025232116044721993,-4.296974974945562e-06,2.441013965869479e-05,13.492150845624133,-15.138335466210295,0.0016132860851650283,12.966685592550585,-14.504641364019,0.001942735762253584
0.3010000000000002,0.08262717656282298,-0.0016211549160623294,-5.905470959820247e-06,-1.5423848103766968e-05,-0.00013703362179284134,0.00037766336949418756,0.29932299639322885,0.3002093410007304,0.3,0.002449173764927199,-1.0073315527016178e-05,2.434018396125449e-05,13.45366044840946,-15.093597294379936,0.0015651862388424917,12.962993758734502,-14.500809391108305,0.0018709514749767513
0.32100000000000023,0.08258310404803976,-0.0023985353436459475,-6.2029572034452696e-06,-1.4084459885104483e-05,-0.00012361871418187183,0.000771426954882561,0.29941477452418286,0.3002653188393011,0.3,0.002350364905015568,-1.479219022493846e-05,2.42720741247574e-05,13.416621725309371,-15.05012152074778,0.0014449992094326563,12.959963286418535,-14.497546883338888,0.0017121323476901795
0.34100000000000025,0.0825268966029943,-0.0029384826670572056,-6.40430421614685e-06,-8.055204476555696e-06,-0.0001037368056402196,0.0010665850766630068,0.29950976273603713,0.30031913232067076,0.3,0.0022368183961058614,-1.8296074976281337e-05,2.4209874806086903e-05,13.383178912935033,-15.010507715106336,0.001265234272248894,12.957698061678776,-14.4949956648637,0.001483521329141247
0.36100000000000027,0.0824634547637601,-0.0032327422619421275,-6.429254663667394e-06,1.696529300150914e-06,-7.94936167281869e-05,0.0012550078422567661,0.29960146035567803,0.30036769503333466,0.3,0.002117971014948098,-2.0530297895148533e-05,2.4156709590185242e-05,13.35495176630391,-14.976745975544702,0.0010417888409990314,12.95626190205714,-14.493256477552071,0.0012056905754545323
0.3810000000000003,0.08239759841324099,-0.0032887793982331595,-6.220169658642527e-06,1.4002189489895001e-05,-5.302805931285557e-05,0.0013373089549735685,0.2996844596206251,0.3004086223835386,0.3,0.0020021622659527126,-2.1530732114682015e-05,2.4114689875459367e-05,13.333003274681458,-14.95016876623112,0.000779288163192631,12.955672216851006,-14.492375436519776,0.0008875700602903867
0.4010000000000003,0.08233386719622518,-0.0031247904184340696,-5.743447861812634e-06,2.7642805520720426e-05,-2.6359514253506582e-05,0.0013214007000022917,0.2997546416396861,0.30044029641807213,0.3,0.0018962745330697516,-2.140736319542218e-05,2.4084925737307468e-05,13.317851348642394,-14.931478624853238,0.0005175506923207294,12.955902904217787,-14.492364466220138,0.000572702240129331
0.4210000000000003,0.08227606054705537,-0.0027838171999760948,-4.9913603199641665e-06,4.131719991077747e-05,-1.2569336015843126e-06,0.0012212884037846974,0.29980925961007804,0.3004618685243304,0.3,0.0018055161659826634,-2.0326108529413885e-05,2.4067606303177283e-05,13.309516601324203,-14.920772570566134,0.0002731232817896808,12.956893021517901,-14.493181935026456,0.00028063877868696283
0.44100000000000034,0.08222703390552744,-0.0023130248416737944,-3.980039386237977e-06,5.3890920068278815e-05,2.0845864338444182e-05,0.0010545343419295714,0.29984693017746744,0.3004732193997717,0.3,0.001733341317441534,-1.8489448409104165e-05,2.4062098353724932e-05,13.307580886104667,-14.91762117393471,5.496738329921598e-05,12.95854231189533,-14.494738840031994,2.252285514299297e-05
0.46100000000000035,0.08218870600612363,-0.001759038917737195,-2.74510623510249e-06,6.445180408753555e-05,3.8896512636855974e-05,0.0008406182618674165,0.299867542021504,0.3004748810108351,0.3,0.0016814926974500653,-1.6117782618626946e-05,2.406710069806903e-05,13.311274036458657,-14.92117145723689,-0.00012862438779084109,12.960718265548756,-14.496908347508327,-0.00019199023819104448
0.48100000000000037,0.08216208550629411,-0.001166745333629005,-1.3370049068636702e-06,7.232545942087955e-05,5.224164234087665e-05,0.0005995075457455859,0.2998720938083622,0.3004679258559157,0.3,0.0016501473169232583,-1.3432754386298814e-05,2.4080820976911358e-05,13.319572350521014,-14.930260024901994,-0.00027147197551753867,12.963265790314342,-14.49953422366343,-0.0003561307162748203
0.5010000000000003,0.08214733253572881,-0.0005774113972012449,1.839526588623408e-07,7.708803029687864e-05,6.061708171077494e-05,0.0003503271221538449,0.29986248156755324,0.3004538349683187,0.3,0.0016381411738548243,-1.0643097984786601e-05,2.4101159205740844e-05,13.331299695843699,-14.94353087214257,-0.0003701286708529993,12.966017555276391,-14.50244122426148,-0.0004665545209310061
